
1763380320.4036143@6.93381e-05,9.35271e-05,0.00329906,0,0,0,0,0,0,0,0,0,0,0,0#0.999273,0.0160897,0.00112056,-0.0345406,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0$
1763380320.566176@6.93381e-05,9.35271e-05,0.00329906,0.00147441,-0.00100423,0.00387639,-0.00231539,0.000845313,0.00513316,0,0,0,0,0,0#0.999273,0.0160897,0.00112056,-0.0345406,0.999768,0.0112555,0.00408185,-0.0178826,0.980081,0.190377,0.00779421,0.0560156,1,0,0,0,1,0,0,0$
1763380320.5781705@-0.000815306,-0.00130123,0.00464398,9.45897e-05,-0.00094036,0.00658801,0.000839812,0.00511389,0.00306308,0,0,0,0,0,0#0.999273,0.0160949,0.00111922,-0.0345309,0.999768,0.0112718,0.0041663,-0.0178874,0.980152,0.190039,0.00776792,0.0559206,1,0,0,0,1,0,0,0$
1763380320.5921888@-0.00148054,0.000267232,0.00614533,9.45897e-05,-0.00094036,0.00658801,0.00191421,-0.000119875,0.00311012,0,0,0,0,0,0#0.999273,0.0161001,0.00112597,-0.0345359,0.999768,0.0112718,0.0041663,-0.0178874,0.980356,0.189003,0.00847876,0.0557534,1,0,0,0,1,0,0,0$
1763380320.6041741@-0.00198191,-0.000134953,0.00466722,-0.000225432,8.39773e-07,0.00633801,0.00191421,-0.000119875,0.00311012,0,0,0,0,0,0#0.999273,0.0161023,0.0011155,-0.0345311,0.999768,0.011238,0.00420528,-0.0179009,0.980356,0.189003,0.00847876,0.0557534,1,0,0,0,1,0,0,0$
1763380320.6191413@-0.00198191,-0.000134953,0.00466722,0.00141499,-0.00061497,0.00517983,0.00266271,-0.000534043,0.00109902,0,0,0,0,0,0#0.999273,0.0161023,0.0011155,-0.0345311,0.999767,0.0112532,0.00425424,-0.0179264,0.98046,0.188434,0.00901142,0.0557729,1,0,0,0,1,0,0,0$
1763380320.6314878@-0.00114357,-0.000666531,0.00628251,0.00141499,-0.00061497,0.00517983,0.00438104,-0.00379339,0.010996,0,0,0,0,0,0#0.999273,0.0161053,0.0011012,-0.0345259,0.999767,0.0112532,0.00425424,-0.0179264,0.981227,0.184365,0.0100459,0.055705,1,0,0,0,1,0,0,0$
1763380320.6454763@-0.000506816,-0.000637284,0.00387015,0.000502933,0.000409322,0.00764908,0.00438104,-0.00379339,0.010996,0,0,0,0,0,0#0.999273,0.0161113,0.00111603,-0.0345331,0.999765,0.0112829,0.00437255,-0.0180112,0.981227,0.184365,0.0100459,0.055705,1,0,0,0,1,0,0,0$
1763380320.658487@8.3392e-05,0.000517163,0.00506762,0.000502933,0.000409322,0.00764908,0.0122417,-0.0753071,0.0654895,0,0,0,0,0,0#0.999273,0.0161011,0.00112308,-0.0345433,0.999765,0.0112829,0.00437255,-0.0180112,0.985219,0.161023,0.0110305,0.0573861,1,0,0,0,1,0,0,0$
1763380320.671471@-0.000844303,-0.00121697,0.00588236,0.00139643,0.000352831,-0.000843973,0.0122417,-0.0753071,0.0654895,0,0,0,0,0,0#0.999273,0.0161102,0.00112293,-0.0345293,0.999762,0.0112011,0.00445043,-0.0181803,0.985219,0.161023,0.0110305,0.0573861,1,0,0,0,1,0,0,0$
1763380320.7084918@-0.000840594,-0.00139354,0.00401438,0.00252211,-0.00109432,0.000486283,-0.00335389,0.018447,0.0314081,0,0,0,0,0,0#0.999273,0.0161061,0.00110436,-0.0345248,0.99976,0.0111722,0.00456189,-0.0182579,0.98895,0.136419,0.0100519,0.0571627,1,0,0,0,1,0,0,0$
1763380320.7506764@-0.000223668,5.21672e-05,0.00369475,0.00252211,-0.00109432,0.000486283,0.0121638,-0.00428859,0.0505136,0,0,0,0,0,0#0.999274,0.0160951,0.00109809,-0.0345239,0.99976,0.0111722,0.00456189,-0.0182579,0.994728,0.0825474,0.00759969,0.0603699,1,0,0,0,1,0,0,0$
1763380320.7906778@-0.000959508,-0.00134089,0.0060166,-0.00266937,0.0037312,0.0129605,0.0084128,0.0152967,0.0321737,0,0,0,0,0,0#0.999273,0.0160995,0.00110783,-0.0345361,0.99976,0.0110922,0.00456501,-0.0183384,0.995942,0.0652469,0.00662103,0.0616336,1,0,0,0,1,0,0,0$
1763380320.845334@5.76058e-06,7.974e-07,0.00393723,0.00185499,-0.000555919,0.00222212,0.0084128,0.0152967,0.0321737,0,0,0,0,0,0#0.999273,0.0160955,0.00106584,-0.0345366,0.99976,0.0109243,0.00468759,-0.0184021,0.995942,0.0652469,0.00662103,0.0616336,1,0,0,0,1,0,0,0$
1763380320.873366@5.76058e-06,7.974e-07,0.00393723,0.0056548,-0.00069739,0.000359649,0.0084128,0.0152967,0.0321737,0,0,0,0,0,0#0.999273,0.0160955,0.00106584,-0.0345366,0.999773,0.0103033,0.0031999,-0.0183888,0.995942,0.0652469,0.00662103,0.0616336,1,0,0,0,1,0,0,0$
1763380320.9188097@-0.000331009,-0.00148712,0.00407374,0.00219051,0.000277843,0.0058076,-1.03488e-05,0.016206,0.0131965,0,0,0,0,0,0#0.999274,0.016083,0.0010304,-0.0345354,0.999777,0.0100676,0.00257999,-0.018363,0.996784,0.0456395,0.00693639,0.0654967,1,0,0,0,1,0,0,0$
1763380320.960771@0.00062373,-0.000495436,0.00477741,0.00219051,0.000277843,0.0058076,-0.0083443,-0.0063087,0.00725931,0,0,0,0,0,0#0.999274,0.0160713,0.00100181,-0.0345304,0.999777,0.0100676,0.00257999,-0.018363,0.996973,0.0332812,0.00938208,0.069629,1,0,0,0,1,0,0,0$
1763380320.990782@-0.000250886,-0.000141487,0.00385879,0.00148644,0.000900761,0.00252385,-0.0182798,-0.0177226,0.0050051,0,0,0,0,0,0#0.999274,0.0160648,0.000983621,-0.0345291,0.999776,0.0101719,0.00251231,-0.0183746,0.997022,0.0270561,0.0105054,0.0714472,1,0,0,0,1,0,0,0$
1763380321.046325@-0.000709913,-0.00162947,0.00480381,0.000409314,-0.000301402,0.00300599,-0.0182798,-0.0177226,0.0050051,0,0,0,0,0,0#0.999274,0.0160625,0.000987048,-0.034546,0.999776,0.0102558,0.00236395,-0.0183781,0.997022,0.0270561,0.0105054,0.0714472,1,0,0,0,1,0,0,0$
1763380321.068681@-0.000709913,-0.00162947,0.00480381,0.000395858,0.000379155,0.00481005,-0.0153483,-0.009294,-0.0120166,0,0,0,0,0,0#0.999274,0.0160625,0.000987048,-0.034546,0.999777,0.0101481,0.00236695,-0.0183688,0.997062,0.0212081,0.0115044,0.0726937,1,0,0,0,1,0,0,0$
1763380321.119435@-0.000654876,0.000721476,0.00462013,0.000395858,0.000379155,0.00481005,-0.0182055,0.00911083,-0.00247411,0,0,0,0,0,0#0.999274,0.0160585,0.000987232,-0.0345414,0.999777,0.0101481,0.00236695,-0.0183688,0.997171,0.00988615,0.0152638,0.0729282,1,0,0,0,1,0,0,0$
1763380321.16623@-1.25612e-05,-0.000533866,0.00506832,0.000739032,0.000173889,0.0040712,-0.0182055,0.00911083,-0.00247411,0,0,0,0,0,0#0.999274,0.0160496,0.000990758,-0.0345416,0.999777,0.0101734,0.00232657,-0.0183635,0.997171,0.00988615,0.0152638,0.0729282,1,0,0,0,1,0,0,0$
1763380321.1983318@-1.25612e-05,-0.000533866,0.00506832,0.000739032,0.000173889,0.0040712,0.0153497,0.00483204,-0.0155779,0,0,0,0,0,0#0.999274,0.0160496,0.000990758,-0.0345416,0.999777,0.0101734,0.00232657,-0.0183635,0.997251,-0.000862229,0.0191576,0.0715714,1,0,0,0,1,0,0,0$
1763380321.23026@-0.00062725,-0.000489827,0.00626072,0.000375921,-0.000712427,0.00815991,0.0198189,0.00986391,0.00817674,0,0,0,0,0,0#0.999274,0.0160543,0.000995499,-0.0345371,0.999777,0.0101776,0.00233406,-0.0183735,0.997279,-0.00542921,0.0210014,0.0704595,1,0,0,0,1,0,0,0$
1763380321.2732754@0.00185149,0.00012172,0.00331711,-0.000980583,0.000200887,0.0027971,0.0198189,0.00986391,0.00817674,0,0,0,0,0,0#0.999274,0.0160462,0.000981339,-0.034534,0.999777,0.010173,0.00232853,-0.0183707,0.997279,-0.00542921,0.0210014,0.0704595,1,0,0,0,1,0,0,0$
